27,Cordarrelle Patterson,WR,4
48,Robert Woods,WR,5
51,Justin Hunter,WR,6
60,Quinton Patton,WR,7
64,Da'Rick Rogers,WR,8
69,Stedman Bailey,WR,9
73,Aaron Dobson,WR,10
102,Terrance Williams,WR,11
105,Markus Wheaton,WR,12
108,Denard Robinson,WR,13
117,Ryan Swope,WR,14
124,Ace Sanders,WR,15
138,Josh Boyce,WR,16
142,Kenny Stills,WR,17
152,Mark Harrison,WR,18
164,Marquess Wilson,WR,19
166,Chris Harper,WR,20
172,Cobi Hamilton,WR,21
